رقم المحضر,اسم الجامع/مسجد,الموقع,تاريخ الزيارة (هجري),التاريخ الميلادي (تقريبي),المسببات,الإجراء المتخذ,رقم عداد الكهرباء,نوع المخالفة,Unnamed: 9
143,جامع ابن تيمة,نفي الدوادمي,14/01/1447,10/7/2025,تشغيل المكيفات – عدم اغلاق المسجد – اكباس غازية,تمت المعالجة,KFM2020660233540,تشغيل مكيفات او انارة خارج اوقات الصلاة,
144,جامع الملك سلمان,البجاديةالدوادمي,12/01/1447,8/7/2025,عدم اغلاق المسجد – اكباس غازية –بردات مياه – تشغيل مكيفات-ثلاجات بريد,تمت المعالجة,KFM2020660212316,تشغيل مكيفات او انارة خارج اوقات الصلاة,
145,جامع عبلة الغويري,الجمش الدوادمي,13/01/1447,9/7/2025,اكباس لد-كشافات على الجدار,تمت المعالجة,KFM2020660171135,تشغيل مكيفات او انارة خارج اوقات الصلاة,
146,مسجد حمود النفيعي,مركز عرجا,12/01/1447,8/7/2025,اكباس - تكييف,تمت المعالجة,KFM2120660252072,تشغيل مكيفات او انارة خارج اوقات الصلاة,
147,جامع الحيد,مركز الحيد,14/01/1447,10/7/2025,اكباس – انارات – عدم اغلاق الجامع - تكييف,تمت المعالجة,KFM2020660223805,تشغيل مكيفات او انارة خارج اوقات الصلاة,
148,جامع عين البراحه,الجمش,14/01/1447,10/7/2025,كشافات- اكباس- التكييف- عدم اغلاق المسجد – عدم اغلاق دورات المياه,تمت المعالجة,SMR2220661011248,تشغيل مكيفات او انارة خارج اوقات الصلاة,
149,مسجد بدون اسم,الجمش,13/01/1447,9/7/2025,انارات – التكييف – اكباس –عدم اغلاق المسجد – دورات مياه مفتوحه-توصيل الكهرباء لبركس بجوار الجامع,تمت المعالجة,KFM2020766086171,تعدي للكهرباء,
150,مسجد بدون اسم,هجرة القرين-الجمش,13/01/1447,9/7/2025,انارات داخليه وخارجية- تكييف – عدم اغلاق المسجد,تمت المعالجة,AES2020896450558,تشغيل مكيفات او انارة خارج اوقات الصلاة,
151,مسجد بدون اسم,هجرة القرين-الجمش,13/01/1447,9/7/2025,اكباس – انارات داخل المسجد,تمت المعالجة,AES2120896610491,تشغيل مكيفات او انارة خارج اوقات الصلاة,
152,مسجد بدون اسم,مركز نفي,15/01/1447,11/7/2025,كشاف في سرحه المسجد- انارات- التكييف –عدم اغلاق دورات المياه,تمت المعالجة,KFM2020766102316,تشغيل مكيفات او انارة خارج اوقات الصلاة,
153,مسجد ام محمد,الرياض –طويق,04/02/1447,29/07/2025,اكباس لد – انارات دورات المياه,تمت المعالجة,KFM2020660043886,تشغيل مكيفات او انارة خارج اوقات الصلاة,
154,مسجد ال محارب,مركز ملهم,07/02/1447,1/8/2025,اكباس - تكييف,تحت الإجراء,KFM2120660244134,تشغيل مكيفات او انارة خارج اوقات الصلاة,
155,جامع أبو بكر الصديق,مركز ملهم,07/02/1447,1/8/2025,اكباس- انارات – التكييف – برادة مياه كبيره,تحت الإجراء,KFM2120660244139,تشغيل مكيفات او انارة خارج اوقات الصلاة,
156,مسجد الدعيلج,مركز القرينة – حريملاء,07/02/1447,1/8/2025,انارات داخليه وخارجية – التكييف- اكباس – عدم اغلاق مصلى النساء,تحت الإجراء,ECC2020811047005,تشغيل مكيفات او انارة خارج اوقات الصلاة,
